State,Active,Latitude,Longitude,Hotspot Area,Death
Jamu Kasmir,454,33.8829726,74.2788672,6,5
Delhi,2514,28.6472785,76.8123831,9,53
Uttar Prdaesh,1778,28.207609,79.82666,11,26
Bihar,228,25.9019381,84.6782396,1,2
Asam,36,26.244156,92.537842,0,1
Andaman nicobar,27,10.2131844,91.0001713,0,0
Arunachal Pradesh,1,28.0033312,92.2292278,0,0
Andhra Pradesh,1071,15.8883457,78.5125752,12,31
chandigarh,28,30.7352101,76.6933169,1,0
chattisgrah,36,21.295132,81.828232,1,0
Goa,7,15.3476995,73.7314233,0,0
Gujrat,2815,22.309425,72.13623,5,3
Haryana ,272,29.238478,76.431885,4,1
Hima chal Pradesh,40,32.084206,77.571167,0,1
Jharkhand,59,23.6493425,84.5115928,0,3
Karnatka,489,15.317277,75.71389,2,18
Kerla,454,10.850516,76.27108,6,4
Maharshtra,6817,19.601194,75.552979,12,301
Manipur,2,24.7622624,92.7330814,0,2
Meghalay,12,25.5751366,90.1869029,0,1
Mizorm,1,23.230577,91.7239314,0,0
Mp,1952,23.473324,77.947998,5,92
Odisha,94,20.94092,84.803467,1,1
Puduchary,7,11.9363771,79.7784226,0,0
Punjab,298,31.0157599,74.2771434,4,17
Rajhasthan,2034,27.391277,73.432617,11,27
TamilNadu,1755,11.059821,78.387451,21,22
Telangana,984,17.123184,79.208824,10,26
Tripura,2,23.745127,91.746826,0,1
Uttarkhand,48,30.0799658,78.187586,1,0
WestBangal,571,22.978624,87.747803,4,18
